Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking,latest_abortion,no_abortion_law
2021,Alabama,59.5,1,636.688,0.644,0.255,0.047,0.013,0.037,15.8,3.775,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578,20.0,0.0
2021,Alaska,64.9,1,353.09299999999985,0.579,0.026,0.067,0.07,0.105,10.7,7.45,0.104,0.6439999999999999,0.252,0.4210526315789473,40.0,1.0
2021,Arizona,55.5,1,447.4930000000004,0.521,0.041,0.324,0.033,0.047,12.7,13.125,0.09,0.6990000000000001,0.211,0.5789473684210527,18.0,0.0
2021,Arkansas,61.7,1,580.04,0.683,0.144,0.083,0.014,0.068,16.3,5.05,0.093,0.7010000000000001,0.2059999999999999,0.2368421052631578,16.0,0.0
2021,California,52.8,1,448.17,0.342,0.051,0.403,0.151,0.047,12.1,26.741666666666667,0.1159999999999999,0.734,0.15,0.9736842105263156,40.0,1.0
2021,Colorado,52.5,1,351.674,0.653,0.036,0.222,0.031,0.053,9.7,9.525,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737,40.0,1.0
2021,Connecticut,52.1,1,469.8550000000005,0.628,0.097,0.178,0.047,0.049,9.8,15.525,0.163,0.747,0.09,0.8157894736842105,28.0,0.0
2021,Delaware,56.5,1,413.17399999999986,0.595,0.203,0.102,0.041,0.057,11.1,9.741666666666667,0.121,0.694,0.185,0.7894736842105263,40.0,1.0
2021,Florida,54.9,1,478.7360000000008,0.512,0.144,0.27,0.028,0.046,13.0,21.508333333333333,0.107,0.722,0.171,0.5526315789473684,28.0,0.0
2021,Georgia,55.9,1,507.7929999999999,0.503,0.303,0.1,0.043,0.048,14.0,10.616666666666664,0.111,0.7030000000000001,0.186,0.5526315789473684,28.0,0.0
2021,Hawaii,59.2,1,415.033,0.196,0.013,0.109,0.375,0.209,10.6,17.191666666666666,0.12,0.64,0.24,1.0,40.0,1.0
2021,Idaho,60.7,1,528.9779999999996,0.788,0.007,0.133,0.014,0.051,11.0,5.958333333333333,0.072,0.6970000000000001,0.2309999999999999,0.1842105263157895,20.0,0.0
2021,Illinois,53.0,1,503.646999999999,0.59,0.132,0.181,0.057,0.039,11.8,14.341666666666669,0.163,0.745,0.092,0.8157894736842105,40.0,1.0
2021,Indiana,60.2,1,419.2120000000005,0.767,0.086,0.077,0.023,0.045,11.9,5.975,0.11,0.706,0.184,0.3684210526315789,20.0,0.0
2021,Iowa,60.8,1,439.6029999999992,0.831,0.034,0.067,0.023,0.041,10.9,5.883333333333333,0.129,0.763,0.1079999999999999,0.4736842105263157,20.0,0.0
2021,Kansas,61.0,1,455.6810000000005,0.734,0.047,0.129,0.03,0.056,11.8,7.05,0.121,0.747,0.132,0.3684210526315789,20.0,0.0
2021,Kentucky,60.8,1,491.9309999999996,0.83,0.068,0.038,0.015,0.047,16.4,3.9333333333333336,0.103,0.7230000000000001,0.1739999999999999,0.2105263157894736,20.0,0.0
2021,Louisiana,62.7,1,635.96,0.574,0.306,0.055,0.018,0.044,19.3,4.166666666666667,0.084,0.677,0.2389999999999999,0.3421052631578947,20.0,0.0
2021,Maine,49.9,1,311.10300000000007,0.9,0.014,0.018,0.011,0.053,11.9,4.041666666666666,0.1159999999999999,0.69,0.194,0.6578947368421052,40.0,1.0
2021,Maryland,56.4,1,436.357,0.481,0.286,0.111,0.068,0.052,10.0,16.466666666666665,0.177,0.739,0.084,0.9736842105263156,40.0,1.0
2021,Massachusetts,49.0,1,477.79699999999866,0.677,0.061,0.129,0.069,0.063,10.2,17.75,0.207,0.759,0.034,1.0,40.0,1.0
2021,Michigan,55.4,1,394.3249999999998,0.731,0.131,0.056,0.032,0.048,13.1,6.825,0.111,0.727,0.162,0.6052631578947368,40.0,1.0
2021,Minnesota,58.6,1,488.1279999999988,0.769,0.067,0.058,0.05,0.049,8.6,8.566666666666666,0.161,0.771,0.0679999999999999,0.6578947368421052,40.0,1.0
2021,Mississippi,60.7,1,595.0150000000001,0.559,0.357,0.031,0.008,0.04,19.3,2.191666666666667,0.074,0.746,0.18,0.3684210526315789,13.0,0.0
2021,Missouri,58.4,1,483.2159999999999,0.768,0.106,0.046,0.02,0.057,12.5,4.083333333333333,0.122,0.736,0.142,0.3684210526315789,6.0,0.0
2021,Montana,54.8,1,345.10599999999977,0.838,0.004,0.043,0.007,0.054,10.9,2.275,0.102,0.681,0.217,0.3421052631578947,25.0,0.0
2021,Nebraska,64.4,1,486.3880000000008,0.766,0.042,0.12,0.022,0.044,10.0,7.108333333333333,0.122,0.752,0.126,0.2894736842105263,20.0,0.0
2021,Nevada,54.8,1,423.326000000001,0.451,0.086,0.301,0.084,0.066,14.0,18.891666666666666,0.064,0.666,0.2699999999999999,0.631578947368421,40.0,1.0
2021,New Hampshire,49.9,1,264.2569999999996,0.876,0.012,0.043,0.027,0.043,6.9,6.125,0.17,0.708,0.1219999999999999,0.631578947368421,40.0,1.0
2021,New Jersey,58.0,1,519.21,0.522,0.121,0.216,0.1,0.04,10.2,23.291666666666668,0.186,0.747,0.0669999999999999,0.7894736842105263,40.0,1.0
2021,New Mexico,52.9,1,527.5650000000005,0.348,0.016,0.503,0.014,0.037,18.5,9.35,0.083,0.712,0.205,0.7105263157894737,40.0,1.0
2021,New York,54.1,1,512.2320000000001,0.535,0.132,0.196,0.087,0.048,13.6,22.65833333333333,0.1889999999999999,0.76,0.051,0.894736842105263,40.0,1.0
2021,North Carolina,58.1,1,526.0949999999993,0.611,0.197,0.101,0.031,0.05,13.5,8.508333333333333,0.129,0.73,0.141,0.5526315789473684,20.0,0.0
2021,North Dakota,66.7,1,538.0869999999995,0.827,0.029,0.039,0.014,0.044,9.5,4.700000000000001,0.143,0.734,0.123,0.131578947368421,20.0,0.0
2021,Ohio,57.9,1,482.40999999999985,0.767,0.115,0.043,0.024,0.049,13.2,4.925,0.124,0.708,0.1679999999999999,0.4736842105263157,20.0,0.0
2021,Oklahoma,61.5,1,613.5759999999996,0.629,0.065,0.119,0.023,0.093,15.4,5.958333333333333,0.077,0.688,0.235,0.131578947368421,20.0,0.0
2021,Oregon,48.9,1,333.8040000000001,0.721,0.018,0.14,0.045,0.065,12.1,9.891666666666667,0.1159999999999999,0.732,0.152,0.763157894736842,40.0,1.0
2021,Pennsylvania,54.7,1,461.9869999999992,0.739,0.097,0.084,0.037,0.043,11.9,7.358333333333333,0.143,0.6910000000000001,0.1659999999999999,0.5789473684210527,40.0,1.0
2021,Rhode Island,48.3,1,511.7879999999995,0.689,0.043,0.174,0.03,0.06,11.3,14.266666666666667,0.138,0.722,0.14,0.8157894736842105,28.0,0.0
2021,South Carolina,57.5,1,527.192,0.628,0.247,0.063,0.016,0.043,14.7,5.158333333333333,0.108,0.72,0.172,0.4210526315789473,20.0,0.0
2021,South Dakota,68.6,1,550.6029999999992,0.802,0.02,0.04,0.015,0.045,11.8,3.4333333333333336,0.139,0.735,0.126,0.2105263157894736,25.0,0.0
2021,Tennessee,59.8,1,556.5029999999999,0.723,0.151,0.06,0.017,0.048,13.6,5.508333333333333,0.1169999999999999,0.6890000000000001,0.194,0.2631578947368421,4.0,0.0
2021,Texas,60.7,1,549.9290000000001,0.393,0.114,0.404,0.052,0.035,14.2,17.133333333333333,0.11,0.7050000000000001,0.185,0.5,20.0,0.0
