Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking
2022,South Carolina,57.0,0,527.6840000000001,0.628,0.247,0.064,0.017,0.041,13.9,5.2,0.108,0.72,0.172,0.4210526315789473
2014,South Dakota,77.8,0,572.9119999999994,0.836,0.015,0.033,0.01,0.026,14.0,2.966666666666667,0.13,0.7230000000000001,0.1469999999999999,0.2105263157894736
2015,South Dakota,78.2,0,569.7249999999995,0.829,0.014,0.034,0.012,0.036,12.1,3.033333333333333,0.13,0.7230000000000001,0.1469999999999999,0.2105263157894736
2016,South Dakota,77.7,0,566.5379999999996,0.827,0.013,0.037,0.015,0.02,13.2,3.1,0.139,0.735,0.126,0.2105263157894736
2017,South Dakota,76.4,0,563.3509999999987,0.825,0.021,0.036,0.013,0.022,11.6,3.166666666666667,0.139,0.735,0.126,0.2105263157894736
2018,South Dakota,73.6,0,560.1639999999989,0.816,0.022,0.038,0.013,0.025,12.9,3.2333333333333334,0.139,0.735,0.126,0.2105263157894736
2019,South Dakota,70.6,0,556.976999999999,0.819,0.022,0.037,0.013,0.024,10.4,3.3,0.139,0.735,0.126,0.2105263157894736
2020,South Dakota,66.7,1,553.79,0.8105,0.0209999999999999,0.0385,0.0139999999999999,0.0345,11.1,3.3666666666666667,0.139,0.735,0.126,0.2105263157894736
2021,South Dakota,68.6,0,550.6029999999992,0.802,0.02,0.04,0.015,0.045,11.8,3.4333333333333336,0.139,0.735,0.126,0.2105263157894736
2022,South Dakota,66.5,0,547.4159999999993,0.801,0.019,0.046,0.014,0.045,10.9,3.5,0.139,0.735,0.126,0.2105263157894736
2014,Tennessee,63.0,0,555.5719999999999,0.748,0.165,0.049,0.016,0.02,18.3,4.866666666666666,0.1119999999999999,0.6679999999999999,0.22,0.2631578947368421
2015,Tennessee,62.8,0,555.7049999999999,0.745,0.166,0.051,0.016,0.02,16.6,4.958333333333333,0.1119999999999999,0.6679999999999999,0.22,0.2631578947368421
2016,Tennessee,62.0,0,555.838,0.744,0.164,0.052,0.018,0.019,15.5,5.05,0.1169999999999999,0.6890000000000001,0.194,0.2631578947368421
2017,Tennessee,61.7,0,555.971,0.741,0.164,0.054,0.018,0.021,14.9,5.141666666666667,0.1169999999999999,0.6890000000000001,0.194,0.2631578947368421
2018,Tennessee,61.1,0,556.1039999999999,0.738,0.165,0.055,0.017,0.022,15.3,5.233333333333333,0.1169999999999999,0.6890000000000001,0.194,0.2631578947368421
2019,Tennessee,60.3,0,556.2369999999999,0.736,0.164,0.057,0.018,0.022,13.7,5.324999999999999,0.1169999999999999,0.6890000000000001,0.194,0.2631578947368421
2020,Tennessee,58.5,1,556.37,0.7295,0.1575,0.0584999999999999,0.0175,0.035,13.65,5.416666666666666,0.1169999999999999,0.6890000000000001,0.194,0.2631578947368421
2021,Tennessee,59.8,0,556.5029999999999,0.723,0.151,0.06,0.017,0.048,13.6,5.508333333333333,0.1169999999999999,0.6890000000000001,0.194,0.2631578947368421
2022,Tennessee,59.3,0,556.636,0.721,0.152,0.063,0.019,0.044,13.3,5.6,0.1169999999999999,0.6890000000000001,0.194,0.2631578947368421
2014,Texas,70.7,0,554.1360000000002,0.435,0.114,0.388,0.043,0.017,17.1,16.666666666666664,0.096,0.706,0.1979999999999999,0.5
2015,Texas,70.2,0,553.5350000000001,0.43,0.115,0.391,0.045,0.017,15.6,16.73333333333333,0.096,0.706,0.1979999999999999,0.5
2016,Texas,68.6,0,552.9340000000002,0.425,0.115,0.393,0.047,0.018,15.5,16.799999999999997,0.11,0.7050000000000001,0.185,0.5
2017,Texas,64.9,0,552.3330000000001,0.419,0.116,0.397,0.048,0.018,14.5,16.866666666666667,0.11,0.7050000000000001,0.185,0.5
2018,Texas,63.4,0,551.7320000000002,0.414,0.116,0.398,0.05,0.019,14.7,16.933333333333334,0.11,0.7050000000000001,0.185,0.5
2019,Texas,62.5,0,551.1310000000001,0.411,0.117,0.4,0.05,0.019,13.5,17.0,0.11,0.7050000000000001,0.185,0.5
2020,Texas,60.2,1,550.53,0.402,0.1155,0.402,0.051,0.027,13.85,17.066666666666666,0.11,0.7050000000000001,0.185,0.5
2021,Texas,60.7,0,549.9290000000001,0.393,0.114,0.404,0.052,0.035,14.2,17.133333333333333,0.11,0.7050000000000001,0.185,0.5
2022,Texas,61.9,0,549.3280000000002,0.389,0.115,0.405,0.054,0.036,13.8,17.2,0.11,0.7050000000000001,0.185,0.5
2014,Utah,80.0,0,779.0199999999995,0.794,0.01,0.134,0.023,0.021,11.7,8.2,0.095,0.732,0.173,0.3421052631578947
2015,Utah,78.0,0,776.0100000000002,0.79,0.011,0.137,0.024,0.022,11.2,8.25,0.095,0.732,0.173,0.3421052631578947
2016,Utah,76.2,0,773.0,0.788,0.01,0.138,0.024,0.024,10.2,8.3,0.087,0.734,0.179,0.3421052631578947
2017,Utah,72.0,0,769.9899999999998,0.785,0.011,0.14,0.024,0.023,9.5,8.35,0.087,0.734,0.179,0.3421052631578947
2018,Utah,68.4,0,766.9799999999996,0.78,0.012,0.141,0.023,0.026,8.6,8.4,0.087,0.734,0.179,0.3421052631578947
2019,Utah,66.7,0,763.9700000000003,0.778,0.01,0.144,0.023,0.027,9.2,8.45,0.087,0.734,0.179,0.3421052631578947
2020,Utah,64.1,1,760.96,0.769,0.01,0.1455,0.024,0.0355,8.6,8.5,0.087,0.734,0.179,0.3421052631578947
2021,Utah,63.6,0,757.9499999999998,0.76,0.01,0.147,0.025,0.044,8.0,8.549999999999999,0.087,0.734,0.179,0.3421052631578947
2022,Utah,61.3,0,754.9399999999996,0.756,0.01,0.152,0.026,0.039,7.9,8.6,0.087,0.734,0.179,0.3421052631578947
2014,Vermont,52.9,0,352.27400000000034,0.934,0.01,0.015,0.02,0.016,10.1,4.333333333333334,0.16,0.745,0.095,1.0
2015,Vermont,51.1,0,356.28499999999985,0.936,0.012,0.015,0.013,0.019,9.5,4.316666666666667,0.16,0.745,0.095,1.0
2016,Vermont,50.3,0,360.2960000000003,0.935,0.01,0.019,0.011,0.023,11.0,4.300000000000001,0.174,0.696,0.13,1.0
2017,Vermont,49.7,0,364.3070000000007,0.931,0.012,0.017,0.017,0.02,10.9,4.283333333333333,0.174,0.696,0.13,1.0
2018,Vermont,47.2,0,368.3180000000002,0.929,0.011,0.018,0.019,0.019,10.9,4.266666666666667,0.174,0.696,0.13,1.0
2019,Vermont,46.8,0,372.32900000000063,0.928,0.011,0.018,0.016,0.02,9.9,4.25,0.174,0.696,0.13,1.0
2020,Vermont,44.7,1,376.34,0.917,0.011,0.019,0.017,0.032,10.0,4.233333333333333,0.174,0.696,0.13,1.0
2021,Vermont,44.9,0,380.35100000000057,0.906,0.011,0.02,0.018,0.044,10.1,4.216666666666667,0.174,0.696,0.13,1.0
2022,Vermont,44.3,0,384.3620000000001,0.904,0.008,0.022,0.015,0.049,9.4,4.2,0.174,0.696,0.13,1.0
2014,Virginia,61.3,0,452.9539999999997,0.631,0.187,0.088,0.062,0.029,11.7,11.833333333333334,0.149,0.7310000000000001,0.1199999999999999,0.6842105263157894
2015,Virginia,61.3,0,454.125,0.628,0.185,0.09,0.064,0.031,11.3,11.941666666666666,0.149,0.7310000000000001,0.1199999999999999,0.6842105263157894
2016,Virginia,61.1,0,455.2959999999998,0.623,0.185,0.091,0.064,0.034,10.9,12.05,0.15,0.724,0.126,0.6842105263157894
2017,Virginia,59.7,0,456.4670000000001,0.619,0.185,0.093,0.066,0.035,10.3,12.158333333333331,0.15,0.724,0.126,0.6842105263157894
2018,Virginia,59.1,0,457.6379999999999,0.615,0.186,0.095,0.066,0.036,10.5,12.266666666666666,0.15,0.724,0.126,0.6842105263157894
2019,Virginia,57.8,0,458.80899999999974,0.613,0.189,0.096,0.067,0.033,9.7,12.375,0.15,0.724,0.126,0.6842105263157894
2020,Virginia,55.8,1,459.98,0.604,0.183,0.099,0.0675,0.0445,9.95,12.483333333333333,0.15,0.724,0.126,0.6842105263157894
2021,Virginia,56.1,0,461.15099999999984,0.595,0.177,0.102,0.068,0.056,10.2,12.591666666666663,0.15,0.724,0.126,0.6842105263157894
2022,Virginia,55.6,0,462.3220000000001,0.589,0.182,0.104,0.07,0.054,10.5,12.7,0.15,0.724,0.126,0.6842105263157894
2014,Washington,63.3,0,373.04799999999886,0.703,0.033,0.122,0.078,0.047,13.0,13.833333333333334,0.12,0.716,0.1639999999999999,0.8157894736842105
2015,Washington,62.8,0,379.7600000000002,0.699,0.035,0.123,0.079,0.047,12.4,14.016666666666667,0.12,0.716,0.1639999999999999,0.8157894736842105
2016,Washington,63.0,0,386.47199999999975,0.695,0.034,0.124,0.081,0.049,11.1,14.2,0.135,0.737,0.128,0.8157894736842105
2017,Washington,59.8,0,393.1839999999993,0.687,0.034,0.127,0.085,0.051,11.0,14.383333333333333,0.135,0.737,0.128,0.8157894736842105
2018,Washington,57.5,0,399.8959999999988,0.679,0.037,0.129,0.088,0.05,10.2,14.566666666666666,0.135,0.737,0.128,0.8157894736842105
2019,Washington,56.0,0,406.6080000000002,0.675,0.038,0.13,0.089,0.05,9.4,14.75,0.135,0.737,0.128,0.8157894736842105
2020,Washington,54.0,1,413.32,0.6605000000000001,0.0375,0.133,0.0915,0.0615,9.65,14.933333333333334,0.135,0.737,0.128,0.8157894736842105
2021,Washington,54.2,0,420.0319999999992,0.646,0.037,0.136,0.094,0.073,9.9,15.116666666666667,0.135,0.737,0.128,0.8157894736842105
2022,Washington,53.3,0,426.7439999999988,0.636,0.038,0.14,0.098,0.073,9.7,15.3,0.135,0.737,0.128,0.8157894736842105
2014,West Virginia,60.3,0,364.27400000000034,0.929,0.035,0.012,0.01,0.016,17.9,1.4,0.108,0.6970000000000001,0.1949999999999999,0.0526315789473683
2015,West Virginia,59.4,0,366.5249999999997,0.928,0.034,0.013,0.01,0.015,17.7,1.45,0.108,0.6970000000000001,0.1949999999999999,0.0526315789473683
2016,West Virginia,58.2,0,368.77599999999984,0.924,0.034,0.014,0.01,0.019,18.2,1.5,0.109,0.7030000000000001,0.188,0.0526315789473683
2017,West Virginia,58.0,0,371.027,0.926,0.037,0.012,0.01,0.016,19.0,1.55,0.109,0.7030000000000001,0.188,0.0526315789473683
2018,West Virginia,57.2,0,373.27800000000025,0.925,0.036,0.013,0.008,0.018,17.5,1.6,0.109,0.7030000000000001,0.188,0.0526315789473683
2019,West Virginia,57.6,0,375.5290000000005,0.925,0.032,0.014,0.008,0.018,15.6,1.65,0.109,0.7030000000000001,0.188,0.0526315789473683
2020,West Virginia,55.3,1,377.78,0.9155,0.0285,0.0155,0.008,0.0305,16.15,1.7000000000000002,0.109,0.7030000000000001,0.188,0.0526315789473683
2021,West Virginia,54.7,0,380.0309999999999,0.906,0.025,0.017,0.008,0.043,16.7,1.75,0.109,0.7030000000000001,0.188,0.0526315789473683
2022,West Virginia,54.0,0,382.28200000000015,0.904,0.029,0.019,0.007,0.04,17.6,1.8,0.109,0.7030000000000001,0.188,0.0526315789473683
2014,Wisconsin,61.8,0,513.6919999999991,0.824,0.059,0.064,0.026,0.019,12.7,4.666666666666667,0.133,0.725,0.142,0.5789473684210527
2015,Wisconsin,61.8,0,508.1499999999997,0.821,0.06,0.066,0.027,0.019,11.4,4.708333333333333,0.133,0.725,0.142,0.5789473684210527
2016,Wisconsin,61.6,0,502.6080000000002,0.819,0.06,0.067,0.027,0.019,11.6,4.75,0.135,0.719,0.146,0.5789473684210527
2017,Wisconsin,60.0,0,497.0659999999989,0.815,0.058,0.068,0.03,0.021,10.8,4.791666666666667,0.135,0.719,0.146,0.5789473684210527
2018,Wisconsin,58.9,0,491.52399999999943,0.812,0.062,0.07,0.028,0.021,10.6,4.833333333333333,0.135,0.719,0.146,0.5789473684210527
2019,Wisconsin,58.1,0,485.982,0.811,0.062,0.071,0.03,0.02,9.5,4.875,0.135,0.719,0.146,0.5789473684210527
2020,Wisconsin,55.4,1,480.44,0.802,0.06,0.073,0.03,0.0295,10.15,4.916666666666667,0.135,0.719,0.146,0.5789473684210527
2021,Wisconsin,55.7,0,474.8979999999992,0.793,0.058,0.075,0.03,0.039,10.8,4.958333333333333,0.135,0.719,0.146,0.5789473684210527
2022,Wisconsin,54.2,0,469.35599999999977,0.791,0.057,0.076,0.029,0.041,10.5,5.0,0.135,0.719,0.146,0.5789473684210527
2014,Wyoming,69.4,0,399.0439999999998,0.843,0.011,0.097,0.01,0.019,11.9,2.9,0.06,0.719,0.221,0.0
2015,Wyoming,70.2,0,399.8599999999999,0.843,0.01,0.099,0.01,0.024,10.1,2.925,0.06,0.719,0.221,0.0
2016,Wyoming,67.2,0,400.67599999999993,0.847,0.01,0.096,0.01,0.018,11.4,2.95,0.076,0.696,0.2279999999999999,0.0
2017,Wyoming,64.1,0,401.492,0.842,0.01,0.1,0.01,0.02,11.8,2.975,0.076,0.696,0.2279999999999999,0.0
2018,Wyoming,61.0,0,402.308,0.842,0.005,0.1,0.011,0.02,11.0,3.0,0.076,0.696,0.2279999999999999,0.0
2019,Wyoming,60.8,0,403.124,0.838,0.01,0.101,0.006,0.021,9.8,3.025,0.076,0.696,0.2279999999999999,0.0
2020,Wyoming,56.4,1,403.94,0.8254999999999999,0.0095,0.1035,0.0065,0.0345,10.5,3.05,0.076,0.696,0.2279999999999999,0.0
2021,Wyoming,57.5,0,404.75599999999986,0.813,0.009,0.106,0.007,0.048,11.2,3.075,0.076,0.696,0.2279999999999999,0.0
2022,Wyoming,55.4,0,405.5719999999999,0.819,0.007,0.109,0.006,0.043,11.4,3.1,0.076,0.696,0.2279999999999999,0.0
