Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking
2021,Connecticut,52.1,0,469.8550000000005,0.628,0.097,0.178,0.047,0.049,9.8,15.525,0.163,0.747,0.09,0.8157894736842105
2022,Connecticut,50.7,0,466.0000000000009,0.62,0.097,0.183,0.047,0.052,9.7,15.7,0.163,0.747,0.09,0.8157894736842105
2014,Delaware,60.8,0,415.9459999999999,0.639,0.21,0.089,0.039,0.019,12.8,8.633333333333333,0.1169999999999999,0.7050000000000001,0.178,0.7894736842105263
2015,Delaware,61.8,0,415.5499999999999,0.632,0.209,0.091,0.039,0.026,13.3,8.791666666666666,0.1169999999999999,0.7050000000000001,0.178,0.7894736842105263
2016,Delaware,61.2,0,415.1539999999999,0.63,0.207,0.092,0.04,0.027,11.5,8.95,0.121,0.694,0.185,0.7894736842105263
2017,Delaware,60.2,0,414.7579999999999,0.626,0.212,0.092,0.04,0.027,,9.108333333333334,0.121,0.694,0.185,0.7894736842105263
2018,Delaware,59.1,0,414.36199999999985,0.621,0.213,0.095,0.042,0.025,11.7,9.266666666666667,0.121,0.694,0.185,0.7894736842105263
2019,Delaware,58.7,0,413.9659999999999,0.614,0.218,0.097,0.039,0.028,10.7,9.425,0.121,0.694,0.185,0.7894736842105263
2020,Delaware,57.0,1,413.57,0.6045,0.2105,0.0995,0.04,0.0425,10.9,9.583333333333334,0.121,0.694,0.185,0.7894736842105263
2021,Delaware,56.5,0,413.17399999999986,0.595,0.203,0.102,0.041,0.057,11.1,9.741666666666667,0.121,0.694,0.185,0.7894736842105263
2022,Delaware,44.9,0,412.7779999999999,0.59,0.211,0.103,0.041,0.054,8.7,9.9,0.121,0.694,0.185,0.7894736842105263
2014,Florida,59.7,0,423.1139999999996,0.557,0.153,0.243,0.026,0.02,16.4,20.166666666666664,0.109,0.735,0.156,0.5526315789473684
